t,v_ref,w_ref,delta_ref,v_cmd,delta_cmd,v_meas,delta_meas,v_err,delta_err,clamped,vel_rate_limited,steer_rate_limited,fl,fr,rl,rr,steer_l,steer_r,heading,curvature,x,y
0.51000000,1.00000000,0.50000000,0.46364761,0.28035000,0.40800000,0.17885000,0.40800000,0.82115000,0.05564761,0,0,1,17.34352662,21.58762857,15.53321398,20.16205665,0.46097265,0.36544877,0.01285802,0.43225546,0.04658749,0.00024408
0.52000000,1.00000000,0.50000000,0.46364761,0.28385000,0.41600000,0.18235000,0.41600000,0.81765000,0.04764761,0,0,1,17.59126786,21.96736883,15.67548467,20.46541981,0.47104475,0.37192866,0.01364815,0.44178337,0.04841082,0.00026897
0.53000000,1.00000000,0.50000000,0.46364761,0.28735000,0.41067659,0.18585000,0.41067659,0.81415000,0.05297102,0,0,0,17.78692160,22.16379050,15.90360567,20.68293265,0.46433864,0.36761899,0.01444217,0.43543584,0.05026913,0.00029581
0.54000000,1.00000000,0.50000000,0.46364761,0.29085000,0.41867659,0.18935000,0.41867659,0.81065000,0.04497102,0,0,1,18.03624679,22.54728287,16.04426556,20.98790660,0.47442230,0.37409224,0.01526917,0.44498614,0.05216241,0.00032472
0.55000000,1.00000000,0.50000000,0.46364761,0.29435000,0.42667659,0.19285000,0.42667659,0.80715000,0.03697102,0,0,1,18.28846371,22.93528532,16.18326504,21.29454096,0.48454012,0.38054592,0.01612997,0.45460469,0.05409066,0.00035583
0.56000000,1.00000000,0.50000000,0.46364761,0.29785000,0.41867659,0.19635000,0.41867659,0.80365000,0.04497102,0,0,1,18.47033215,23.08993709,16.43040913,21.49303071,0.47442230,0.37409224,0.01698812,0.44498614,0.05605388,0.00038918
0.57000000,1.00000000,0.50000000,0.46364761,0.30135000,0.42667659,0.19985000,0.42667659,0.80015000,0.03697102,0,0,1,18.72338556,23.48071422,16.56812271,21.80095097,0.48454012,0.38054592,0.01788074,0.45460469,0.05805206,0.00042491
0.58000000,1.00000000,0.50000000,0.46364761,0.30485000,0.42782634,0.20335000,0.42782634,0.79665000,0.03582127,0,0,0,18.94626346,23.77094846,16.75246976,22.06223776,0.48599702,0.38147185,0.01879204,0.45599279,0.06008520,0.00046312
0.59000000,1.00000000,0.50000000,0.46364761,0.30835000,0.43212249,0.20685000,0.43212249,0.79315000,0.03152512,0,0,0,19.18467207,24.11042753,16.91418470,22.34615666,0.49144694,0.38492819,0.01972988,0.46119245,0.06215329,0.00050393
0.60000000,1.00000000,0.50000000,0.46364761,0.31185000,0.42412249,0.21035000,0.42412249,0.78965000,0.03952512,0,0,1,19.36362617,24.25918642,17.16374365,22.54223155,0.48130621,0.37848761,0.02066386,0.45152632,0.06425635,0.00054740
0.61000000,1.00000000,0.50000000,0.46364761,0.31535000,0.43212249,0.21385000,0.43212249,0.78615000,0.03152512,0,0,1,19.62019243,24.65776981,17.29816166,22.85344739,0.49144694,0.38492819,0.02163398,0.46119245,0.06639435,0.00059366
0.62000000,1.00000000,0.50000000,0.46364761,0.31885000,0.43258652,0.21735000,0.43258652,0.78265000,0.03106109,0,0,0,19.84032568,24.93890939,17.48672263,23.11052026,0.49203616,0.38530118,0.02262144,0.46175530,0.06856729,0.00064282
0.63000000,1.00000000,0.50000000,0.46364761,0.32235000,0.43654807,0.22085000,0.43654807,0.77915000,0.02709954,0,0,0,20.07892025,25.27739802,17.64902990,23.39384682,0.49707103,0.38848293,0.02363553,0.46657036,0.07077517,0.00069501
0.64000000,1.00000000,0.50000000,0.46364761,0.32585000,0.42854807,0.22435000,0.42854807,0.77565000,0.03509954,0,0,1,20.25506186,25.42021844,17.90105880,23.58745176,0.48691191,0.38205288,0.02464452,0.45686488,0.07301799,0.00075030
0.65000000,1.00000000,0.50000000,0.46364761,0.32935000,0.43654807,0.22785000,0.43654807,0.77215000,0.02709954,0,0,1,20.51494457,25.82631003,18.03228788,23.90185652,0.49707103,0.38848293,0.02569127,0.46657036,0.07529574,0.00080883
0.66000000,1.00000000,0.50000000,0.46364761,0.33285000,0.43178672,0.23135000,0.43178672,0.76865000,0.03186089,0,0,0,20.70720595,26.02048843,18.26069211,24.11908614,0.49102065,0.38465825,0.02674117,0.46078533,0.07760841,0.00087069
0.67000000,1.00000000,0.50000000,0.46364761,0.33635000,0.43978672,0.23485000,0.43978672,0.76515000,0.02386089,0,0,1,20.96917440,26.43082728,18.39017406,24.43523803,0.50119312,0.39108067,0.02782971,0.47052001,0.07995600,0.00093604
0.68000000,1.00000000,0.50000000,0.46364761,0.33985000,0.43178672,0.23835000,0.43178672,0.76165000,0.03186089,0,0,1,21.14268872,26.56771216,18.64472348,24.62632244,0.49102065,0.38465825,0.02891187,0.46078533,0.08233851,0.00100494
0.69000000,1.00000000,0.50000000,0.46364761,0.34335000,0.43978672,0.24185000,0.43978672,0.75815000,0.02386089,0,0,1,21.40557762,26.98089653,18.77290401,24.94377576,0.50119312,0.39108067,0.03003335,0.47052001,0.08475592,0.00107756
0.70000000,1.00000000,0.50000000,0.46364761,0.34685000,0.43178672,0.24535000,0.43178672,0.75465000,0.03186089,0,0,1,21.57817149,27.11493589,19.02875486,25.13355874,0.49102065,0.38465825,0.03114776,0.46078533,0.08720823,0.00115397
0.71000000,1.00000000,0.50000000,0.46364761,0.35035000,0.43978672,0.24885000,0.43978672,0.75115000,0.02386089,0,0,1,21.84198083,27.53096577,19.15563396,25.45231349,0.50119312,0.39108067,0.03230218,0.47052001,0.08969543,0.00123434
0.72000000,1.00000000,0.50000000,0.46364761,0.35385000,0.43335850,0.25235000,0.43335850,0.74765000,0.03028911,0,0,0,22.02258878,27.69024579,19.39989943,25.65368186,0.49301666,0.38592156,0.03345359,0.46269222,0.09221752,0.00131875
0.73000000,1.00000000,0.50000000,0.46364761,0.35735000,0.44135850,0.25585000,0.44135850,0.74415000,0.02228911,0,0,1,22.28792908,28.10983936,19.52525210,25.97396303,0.50319557,0.39234030,0.03464580,0.47244119,0.09477448,0.00140737
0.74000000,1.00000000,0.50000000,0.46364761,0.36085000,0.43335850,0.25935000,0.43335850,0.74065000,0.03028911,0,0,1,22.45824830,28.23802514,19.78367587,26.16117310,0.49301666,0.38592156,0.03582960,0.46269222,0.09736632,0.00150028
0.75000000,1.00000000,0.50000000,0.46364761,0.36435000,0.44135850,0.26285000,0.44135850,0.73715000,0.02228911,0,0,1,22.72451927,28.66047284,19.90772521,26.48275761,0.50319557,0.39234030,0.03705487,0.47244119,0.09999301,0.00159765
0.76000000,1.00000000,0.50000000,0.46364761,0.36785000,0.43360994,0.26635000,0.43360994,0.73365000,0.03003767,0,0,0,22.89540333,28.79048333,20.16530747,26.67080918,0.49333608,0.38612359,0.03827186,0.46299752,0.10265456,0.00169956
0.77000000,1.00000000,0.50000000,0.46364761,0.37135000,0.44160994,0.26985000,0.44160994,0.73015000,0.02203767,0,0,1,23.16270616,29.21590304,20.28801679,26.99373370,0.50351602,0.39254174,0.03953103,0.47274878,0.10535095,0.00180621
